dishID,dishname,prep_time,ingre_list,num_servings,nutri_guide,skills_needed,age_range,meal_type
11,Laswa Recipe,30,"1 pc Knorr Shrimp Cube, 1 cup water, 1 cup kalabasa (peeled and cubed), Ω cup gabi (peeled and cubed), 2 pcs kamatis (seeds removed), 1 stalk malunggay leaves, 1 bundle alugbati leaves, 1 small pc ginger (peeled and sliced thinly), 1 pc red onion (peeled and sliced thinly), 2 stalks leeks (sliced), 2 pcs tanglad (white ends only, pounded), 4-5 pcs okra (medium-sized, cut in half)",04-May,"Calories: 80, Protein: 3g, Carbohydrates: 15g, Fats: 2g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
12,Ginisang Pechay with Giniling,25,"1 pc onion (chopped), 1 clove garlic (chopped), 1/4 cup giniling na baboy, 1 Knorr Pork Cube, 2 bundles pechay (sliced), 1 cup water",04-May,"Calories: 100, Protein: 5g, Carbohydrates: 8g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Meat Recipe"
13,Tortang Ampalaya,20,"2 small pcs ampalaya (sliced thinly), 1 tbsp cooking oil, 1 Knorr Chicken Cube, 4 pcs egg (scrambled)",04-May,"Calories: 90, Protein: 6g, Carbohydrates: 5g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
14,Ginisang Pechay at Tuna Recipe,15,"1 tbsp oil, 1 pc onion (chopped), 1 clove garlic (chopped), 1 can tuna (180 g), 1 Knorr Chicken Cube, 1 bundle pechay (sliced), 1 cup water",04-May,"Calories: 120, Protein: 12g, Carbohydrates: 5g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Seafood Recipe"
15,Ginisang Repolyo,10,"1 tbsp oil, 1 pc onion (chopped), 1 clove garlic (chopped), 1/2 wedge repolyo (sliced), 1 pc Knorr Chicken Cube, 1 cup water",04-May,"Calories: 80, Protein: 3g, Carbohydrates: 10g, Fats: 3g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
116,Upo Guisado Recipe,20,"1 tbsp cooking oil, 1 pc onion chopped, 1 clove garlic chopped, 1 pc medium upo, sliced, 1 Knorr Pork Cube, 1 cup water",04-May,"Calories: 110, Protein: 3g, Carbs: 20g, Fats: 4g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, "
117,Odong,25,"1 tbsp cooking oil, 1 pc onion chopped, 1 pc garlic chopped, 1 can sardines (155 g), 1 Knorr Chicken Cube, 2 cups water, 2 packs (40g) odong noodles, 1 bundle pechay sliced",04-May,"Calories: 180, Protein: 10g, Carbs: 25g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders","Pasta/Noodle, Seafood Recipe"
118,Sinigang na Bangus Recipe,60,"1 piece bangus, 1 piece tomato slice, 1 piece onion chopped, 1 10g Sinigang Sa Sampalok mix, 1 bundle water spinach",04-May,"Calories: 150, Protein: 20g, Carbs: 15g, Fats: 5g",Intermediate,"Kids, Teens, Adults, Elders","Soup, Seafood Recipe"
119,Adobong Talong,20,"3 pieces eggplant sliced into rings, 1 pc Knorr pork cube, 1 cup water, 1 tablespoon vinegar, 1 tablespoon soy sauce, 3 cloves garlic chopped, 1 pc fried tofu puffs cubed",04-May,"Calories: 130, Protein: 6g, Carbs: 15g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
120,Corned Beef Fried Rice,20,"2 tbsp cooking oil, 1 can carne norte / corned beef, 2 pieces egg beaten, 1 pc Knorr Chicken Cube, 4 cups cooked rice (cold), 1 piece carrot, cut into small cube, 1/2 cup green peas",04-May,"Calories: 350, Protein: 20g, Carbs: 40g, Fats: 12g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
121,Sardines Scrambled Egg Recipe,20,"1 tsp oil, 1 piece onion, chopped, 1 can (150 ml) sardines, 1 piece Knorr chicken cube, Ω cup water, 3 pcs eggs, scrambled",04-May,"Calories: 220, Protein: 18g, Carbs: 5g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders","Appetizer, Seafood Recipe"
122,Ginataang Manok at Kalabasa Recipe,45,"2 tbsp cooking oil, 1/4 kg chicken breast, cut into cubes, 1/4 kg squash, cut into cubes, 1 pack Knorr Complete Recipe Mix Ginataang Gulay dissolved in 1 cup water, 1/2 cup malunggay leaves",02-Mar,"Calories: 300, Protein: 25g, Carbs: 15g, Fats: 18g",Intermediate,"Kids, Teens, Adults, Elders","Appetizer, Chicken Recipe, Vegetable Dishes"
123,Ginisang Pechay at Tokwa Recipe,20,"3 tofu, 1 onion chopped, 1 clove garlic, 1 bag pechay sliced, 1 cup water, 1 piece Knorr Pork Cube, 1 sachet oyster sauce",04-May,"Calories: 150, Protein: 10g, Carbs: 12g, Fats: 7g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
124,Bulanglang,25,"2 tbsp oil, 3 cloves garlic, 1 pc onion, 1 tbsp alamang, 2 cups water, 1 Knorr Chicken Cubes, 1 pc sweet potato cubed, 1/4 medium kalabasa, cubed, 1 cup string beans, 4 pcs ampalaya, sliced, 2 pcs eggplant, 4 pcs okra, 1 bundle Saluyot Leaves, 1 small fried bangus or galunggong sliced",04-May,"Calories: 250, Protein: 10g, Carbs: 35g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Soup"
125,Ginisang Sayote with Sotanghon Recipe,35,"1 tbsp oil, 1 pc onion chopped, 1 pc garlic chopped, 100 grams chicken boiled and shredded, 1 pc sayote sliced diagonally, 1 Knorr Chicken Cube, 2 cup water, 50 grams sotanghon soaked in water",04-May,"Calories: 230, Protein: 15g, Carbs: 30g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders","Pasta/Noodle, Chicken Recipe"
126,Ginisang Togue,25,"1 tbsp oil, 1 pc onion chopped, 1 clove garlic chopped, 1/4 kilogram bean sprouts or togue, 1 pc Knorr Shrimp Cube, 1 cup water, 1 pc tokwa",04-May,"Calories: 140, Protein: 5g, Carbs: 10g, Fats: 7g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
127,Pancit Molo Recipe,30,"3 clove garlic chopped, 2 cups water, 1 pc Knorr Chicken Cube, 1 bundle pechay sliced, 20 pcs molo wrapper",04-May,"Calories: 220, Protein: 12g, Carbs: 30g, Fats: 8g",Intermediate,"Kids, Teens, Adults, Elders","Pasta/Noodle, Soup"
128,Talong Surprise,20,"2 cloves garlic chopped, 1 pc onion chopped, 1 pc tomato sliced, 3 pcs medium eggplant, 3 pcs egg, whisked, 1 piece Knorr Chicken Cube",04-May,"Calories: 200, Protein: 10g, Carbs: 15g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders","Vegetable Dishes, Appetizer"
129,Kangkong at Tokwa in Oyster Sauce Recipe,20,"1 pc tokwa / tofu, sliced into cubes, 1 tbsp cooking oil, 1 clove garlic chopped, 1 pc onion chopped, 1 piece Knorr chicken cube, 30 g oyster sauce, 1 bundle kangkong, 1 cup water",04-May,"Calories: 160, Protein: 12g, Carbs: 10g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
130,Tokwa Sarciado,25,"3 pieces tofu, 1 piece egg, 1 clove garlic chopped, 1 piece onion chopped, 1 piece tomato slice, 1 piece chicken cube",04-May,"Calories: 200, Protein: 15g, Carbs: 8g, Fats: 12g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
131,Laing Recipe,65,"4 cups dried gabi leaves, shredded into strips, 2 tsps oil, 1 pc large onion, coarsely chopped, 3 cloves garlic, finely chopped, 1 tbsp ginger, crushed, 1 cup pork, sliced, 1 cup coconut milk, 2nd extraction, 2 pcs long green chili, 1 pc Knorr Pork Broth Cube, 1/2 cup coconut milk, 1st extraction",04-May,"Calories: 400, Protein: 10g, Carbs: 30g, Fats: 30g",Intermediate,"Kids, Teens, Adults, Elders","Appetizer, Vegetable Dishes"
132,Chicken Sotanghon Soup Recipe,30,"2 tbsp cooking oil, 4 cloves garlic, finely chopped, 1 pc small onion, coarsely chopped, 1 pc chicken breast, shredded, 1 tbsp atsuete oil, 3 1/2 to 4 cups water, 2 pcs Knorr Chicken Broth Cubes, 1 cup sotanghon, soaked in water for 15 minutes, 1 cup baby pak choi, finely shredded, Optional: 1 cup spinach leaves picked, spring onion, fried garlic for garnishing",02-Mar,"Calories: 250, Protein: 20g, Carbs: 30g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders","Soup, Chicken Recipe"
133,Ginisang Carrots at Sayote,25,"1 tbsp oil, 1 pc onion chopped, 1 clove garlic chopped, 1 piece sayote thinly sliced, 1 piece carrot thinly sliced, 1 Knorr Pork Cube, 1 cup water, 1 piece fried tofu cubed",04-May,"Calories: 150, Protein: 7g, Carbs: 12g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
134,Miswa Egg Soup,25,"1 tbsp oil, 1 pc onion, chopped, 1 pc garlic, chopped, 2 cups water, 1 pc Knorr Chicken Cube, 250 ml (1 pack) misua, 1 pc pechay sliced, 1 pc egg",04-May,"Calories: 200, Protein: 10g, Carbs: 15g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders","Soup, Appetizer"
135,Paksiw na Bangus Recipe,30,"1 cup water, 1/2 cup white vinegar, 2 tsp salt, 1 tsp peppercorn whole, 1 pc medium bangus, cut into 4 parts, 4 cloves garlic chopped, 1 pc onion, sliced, 1 pc ginger sliced diagonally, pinch of pepper, 2 pcs laurel leaves, 1 pc talong sliced into rings, 22 g (1 pack) Knorr Sinigang Mix",04-May,"Calories: 220, Protein: 20g, Carbs: 5g, Fats: 12g",Beginner,"Kids, Teens, Adults, Elders","Seafood Recipe, Soup"
136,Ginisang Sardinas at Ampalaya,25,"1 tbsp cooking oil, 1 pc onion chopped, 1 clove garlic chopped, 1 pc ampalaya sliced thinly, 1 can (155g) sardines, 1/2 pc Knorr Chicken Cube, 1/2 cup water",04-May,"Calories: 180, Protein: 15g, Carbs: 8g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders","Seafood Recipe, Vegetable Dishes"
137,Mini Hotdog Appetizer Recipe,15,"8 pcs regular-sized hotdog, 1 pack (80ml) Lady's Choice Real mayonnaise, 12 pcs pandesal",04-May,"Calories: 300, Protein: 10g, Carbs: 35g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
138,Scrambled Eggs with Tomatoes and Onions,20,"1 tbsp oil, 1 pc onion sliced, 1 pc tomato sliced, 1/2 Knorr Chicken Cube, 3 pcs eggs scrambled",04-May,"Calories: 220, Protein: 14g, Carbs: 10g, Fats: 14g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
139,Hamdesal,20,"4 pcs sliced ham, 1 pack (80ml) Lady's Choice Real Mayonnaise, 12 pcs pandesal",04-May,"Calories: 350, Protein: 15g, Carbs: 40g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
140,Spanish Omelette,20,"2 pcs medium potato cut into cubes, 1 cup water, 1 pc Knorr Chicken Cube, 2 tbsp oil, 1 pc onion, sliced, 4 pcs eggs, scrambled",04-May,"Calories: 300, Protein: 12g, Carbs: 35g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
141,Tuna Appetizer,20,"1 can (150g) canned Tuna, drained, 1 pack (80ml) Lady's Choice Real mayonnaise, 15 pcs pandesal, salt and pepper to taste",04-May,"Calories: 250, Protein: 18g, Carbs: 30g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
142,The Best Scrambled Egg Appetizer Is Made with Pandesal,20,"1 tsp cooking oil, 4 pcs eggs, scrambled, 1 pack (80 ml) Lady's Choice Real mayonnaise, 15 pcs pandesal",04-May,"Calories: 280, Protein: 14g, Carbs: 35g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
143,Ginisang Patatas Recipe,25,"1 tbsp cooking oil, 1 pc onion chopped, 1 clove garlic chopped, 4 pcs potato sliced diagonally, 1 pc Knorr chicken cube, 1 cup water, Season with salt and pepper",04-May,"Calories: 200, Protein: 6g, Carbs: 35g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
144,Egg Adobo,20,"3 pcs eggs, 1 pc onion, chopped, 2 tbsp soy sauce, 1 pc Knorr Chicken Cube, 1 cup water, pinch of pepper",02-Mar,"Calories: 220, Protein: 12g, Carbs: 8g, Fats: 16g",Beginner,"Kids, Teens, Adults, Elders",Meat Recipe
145,Ginataang Papaya,20,"1 pc green papaya peeled, 1 pack (29g) Knorr Ginataang Gulay Mix, 1 cup water, 1 pc tinapa, flakes",04-May,"Calories: 180, Protein: 5g, Carbs: 30g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
146,Miswa Patola Recipe,25,"1 tbsp cooking oil, 1 pc garlic chopped, 1 pc onion chopped, 1 pc Knorr Chicken Cube, 2 cups water, 1 bundle misua, 1 piece patola",04-May,"Calories: 200, Protein: 10g, Carbs: 15g, Fats: 8g",Beginner,"Kids, Teens, Adults, Elders","Soup, Vegetable Dishes"
147,Adobong Sitaw,25,"15 ml cooking oil, 5 g garlic chopped, 250 g sitaw sliced into 2 inches, 1/2 pc Knorr Chicken or Pork Cube, 250 ml water, 15 g vinegar, 30 g Knorr Liquid Seasoning, 1 piece fried bangus slice",04-May,"Calories: 180, Protein: 8g, Carbs: 10g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders",Vegetable Dishes
148,Asadong Itlog,20,"1 tablespoon cooking oil, 1 pc onion chopped, 1/2 pc Knorr chicken cube, 50 g ketchup, 1/2 cup water, 5 pieces boiled egg sliced, 1 bundle pechay sliced, 1 piece fried tofu puff cubed",04-May,"Calories: 230, Protein: 12g, Carbs: 15g, Fats: 14g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
149,Spicy Monggo with Tinapa Recipe,70,"1 cup whole monggo beans, 4 cups water, 7 cloves garlic, mashed, 3 pcs medium-sized red tomatoes, chopped, 1 pc medium-sized onion, chopped, 2 pcs medium-sized tinapang galunggong, fried, filleted and shredded, 2 pcs Knorr Pork Cubes, 2 pcs siling labuyo, chopped, 1 cup malunggay leaves",04-May,"Calories: 250, Protein: 15g, Carbs: 45g, Fats: 5g",Advanced,"Kids, Teens, Adults, Elders","Soup, Vegetable Dishes"
150,Lumpiang Hubad Recipe,60,"2 tbsp canola oil, 1 pc onion, chopped, 3 cloves garlic, chopped, 2 pcs carrots, cut into strips, 2 pcs sinkamas, cut into strips, 150 g ubod, cut into strips, 1 pc Knorr Shrimp Cubes, 1/2 cup brown sugar, 1 cup water, 1/2 tbsp soy sauce, 1 tbsp cornstarch, 2 tbsp water, 4 g garlic, minced, 30 g peanut ground",04-May,"Calories: 280, Protein: 8g, Carbs: 40g, Fats: 12g",Advanced,"Kids, Teens, Adults, Elders","Appetizer, Vegetable Dishes"
151,Kaldereta Cream Pasta Recipe,30,"1 tbsp cooking oil, 1 tbsp onion, chopped, 2 tbsp garlic, chopped, 1 pc green bell pepper, sliced, 1 pc red bell pepper, sliced, 1 pc potato, diced, 1 pc carrot, diced, 1 pack Knorr Complete Recipe Mix Kaldereta, dissolved in 2Ω cups water, 2 tbsp liver spread, 1 pc red chili, Ω cup green peas, º cup olives, sliced (optional), Ω cup all-purpose cream, 800 g penne pasta, cooked",04-May,"Calories: 400, Protein: 18g, Carbs: 55g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders",Meat Recipe
152,Onion Rings Recipe,25,"2 pcs large white onions, sliced into 3/4-inch thick rings, 1 cup flour, seasoned, 1 pc egg, beaten, 1 cup breadcrumbs, oil, as needed for frying, 1/2 cup Lady's Choice Real Mayonnaise, 1 tsp garlic, minced, Knorr Liquid Seasoning to taste, honey (optional)",04-May,"Calories: 350, Protein: 7g, Carbs: 40g, Fats: 20g",Beginner,"Kids, Teens, Adults, Elders","Appetizer, Vegetable Dishes"
153,Star Sopas with Garlic Chicken Recipe,30,"º kg chicken, cut into serving pieces, Ω tsp salt, 1 tbsp cooking oil, 1 pc onion, chopped finely, 7 cloves garlic, minced, 2 pcs Knorr Chicken Cubes, 5 cups water, 1 pc small carrot, chopped finely, 200 g Knorr Royal Elbow Macaroni, º cup evaporated milk",04-May,"Calories: 300, Protein: 20g, Carbs: 35g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders","Soup, Meat Recipe"
154,Spaghetti with Ham and Corn Recipe,30,"1 pack Knorr Chicken and Corn Real Chinese Soup 60 g, 1 cup water, 3 cups fresh milk, 4 tbsp butter, 1 pc garlic, minced, 1 pc onion, minced, 1 cup button mushrooms, 1 kg spaghetti, cooked, Parmesan cheese",04-May,"Calories: 550, Protein: 22g, Carbs: 75g, Fats: 18g",Beginner,"Kids, Teens, Adults, Elders",Pasta/Noodles
155,Pesang Isda Pleasures Recipe,30,"2 cloves garlic, minced, 1 pc ginger, thinly sliced, 1 pc medium onion, quartered, 1 pc large dalag or hito, cleaned and cut into serving portions, 4 cups ""hugas bigas"", 3 pcs Knorr Fish Cubes, 2 bunches pechay Tagalog, 2 stalks green onions, chopped, pepper to taste",04-May,"Calories: 220, Protein: 25g, Carbs: 20g, Fats: 6g",Beginner,"Kids, Teens, Adults, Elders","Soup, Seafood Recipe"
156,Seafood and Lime Sinigang,30,"4 cups rice washing (hugas bigas), 3 pcs onions, quartered, 4 pcs native tomatoes, quartered, 2 pcs fresh long green chilis, 1/4 kg mussels, cleaned, 1/4 kg shrimp, trimmed and cleaned, 2 pcs squid, small, cleaned, cut into rings, juice from 1 pc lime, 1 pack Knorr Sinigang sa Samaplaok 2-in-1 Mix, 4 pcs okra, sliced into half, 1/2 bunch kangkong, sliced into 2-inch lengths",04-May,"Calories: 200, Protein: 18g, Carbs: 10g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders","Soup, Seafood Recipe"
157,Herb Baked Fish Fillet with Creamy Corn Sauce,30,"2 pcs cream Dory Fillets, 1 tsp fresh thyme, chopped, 1 tsp fresh oregano, chopped, 3 tbsp butter, 4 cloves garlic, sliced thinly, 200 g beans, trimmed, 100 g young corn pre-cooked and sliced into two, 1 pc red bell pepper, sliced, 2 tbsp canola oil, 1 (80g) Knorr Cream of Corn Soup (prepared according to package directions: simmered until thick - sauce consistency)",04-May,"Calories: 350, Protein: 24g, Carbs: 15g, Fats: 20g",Beginner,"Kids, Teens, Adults, Elders","Meat Recipe, Vegetable Dishes"
158,Spiced Pumpkin Cream Soup Recipe,45,"1/2 pc pumpkin, small, cut into cubes, 1 pc Knorr Beef Cubes, 1 (33g) pack Knorr Complete Recipe Mix Ginataang Gulay, 1 tbsp oil, 1 pc onion, chopped, 4 cloves garlic, chopped, water as needed, 1 cup cream, 1 tsp cinnamon",04-May,"Calories: 280, Protein: 6g, Carbs: 35g, Fats: 15g",Intermediate,"Kids, Teens, Adults, Elders","Soup, Vegetable Dishes"
159,Baked Potatoes--Made Beginner Recipe,55,"3 pcs large potatoes, skin on, washed and scrubbed, water as needed, º cup butter, softened, 1 pc Knorr Beef Cubes, mashed, Ω cup all-purpose cream, ground black pepper, to taste, bacon bits (optional), 4-6 tbsp quick-melting cheese, grated",02-Mar,"Calories: 450, Protein: 10g, Carbs: 65g, Fats: 18g",Advanced,"Kids, Teens, Adults, Elders",Vegetable Dish
160,Beef and Broccoli Recipe,25,"2 tbsp canola oil, 1 pc red onion, chopped, 4 cloves garlic, chopped, º kg beef sirloin, º cup water, 1 pc Knorr Beef Cubes, 2 tbsp oyster sauce, Ω kg broccoli, 1 tbsp corn starch",04-May,"Calories: 320, Protein: 26g, Carbs: 15g, Fats: 18g",Beginner,"Kids, Teens, Adults, Elders","Beef Recipe, Vegetable Dishes"
161,Eggplant Lasagna Recipe,65,"2 tbsp cooking oil, 1 pc onion, chopped, 4 cloves garlic, chopped, 2 tbsp liver spread, Ω kg lean ground beef, 1 Knorr Complete Recipe Mix Kaldereta, dissolved in 2 cups of water, Ω cup cheddar cheese, black pepper, to taste, 1 cup all-purpose cream, 4 pcs eggplant, halved lengthwise then sliced into 3-inch lengths, beaten egg, flour and breadcrumbs, as needed, oil for frying, cheddar or mozzarella cheese or cheese sauce for topping",04-May,"Calories: 550, Protein: 30g, Carbs: 40g, Fats: 25g",Advanced,"Kids, Teens, Adults, Elders","Vegetable Dish, Appetizer"
162,Sinigang na Fried Bangus,60,"Ω kg bangus, cut into 1Ω-inch thick pcs, 4 cups rice washing (hugas bigas), 2 pcs onions, quartered, 4 pcs native tomatoes, quartered, 1 (20g) pack Knorr Sinigang sa Sampalok Mix Original, 2 pcs long green chili, Ω pc radish sliced diagonally, 4 pcs okra, sliced into half, 4 pcs sigarilyas, sliced into half",04-May,"Calories: 260, Protein: 24g, Carbs: 12g, Fats: 15g",Intermediate,"Kids, Teens, Adults, Elders","Soup, Seafood Recipe"
10,Yang Chow Fried Rice Recipe,25,"2 tbsp oil, 6 cloves garlic, chopped, 1 pc Knorr Shrimp Cube, mashed, 1-2 pcs Chinese chorizo or ham, chopped, 4 cups cooked day-old rice, preferably, º pc carrot, chopped, º cup green peas, 2-3 tbsp Knorr Liquid Seasoning, 2 pcs egg, beaten, cooked, and chopped, 2 tbsp sesame oil (optional), chopped spring onion and toasted garlic",04-May,"Calories: 450, Protein: 12g, Carbs: 65g, Fats: 15g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
4,Ampalaya Con Carne Recipe,55,"2 tbsp cooking oil, 1 pc red onion, chopped, 4 cloves garlic, chopped, Ω kg beef loin, sliced into strips, 1 pc ampalaya, º cup tausi, drained, º cup Knorr Liquid Seasoning, º cup soy sauce, Ω tbsp cornstarch, 1Ω cups water, ground black pepper",04-May,"Calories: 320, Protein: 30g, Carbs: 10g, Fats: 20g",Intermediate,"Kids, Teens, Adults, Elders","Meat Recipe, Vegetable Dishes"
4,Beef and Sigarilyas Recipe,25,"2 tbsp oil, 6 cloves garlic, chopped, 300 grams beef loin, sliced thinly, 1Ω to 2 cups water, 1 pc Knorr Beef Cube, 2 cups sigarilyas, sliced diagonally, 2 tbsp Knorr Liquid Seasoning, 3 tbsp white sugar, ground black pepper to taste, 1 tbsp cornstarch, 3 tbsp water, sesame oil (optional)",04-May,"Calories: 280, Protein: 25g, Carbs: 15g, Fats: 12g",Beginner,"Kids, Teens, Adults, Elders","Meat Recipe, Vegetable Dishes, Soup"
,Chicken Mushroom Soup Recipe,30,"1 pack Knorr Cream of Mushroom Soup, 4 cups water, Ω kg chicken breast fillet, cut into cubes, Ω cup corn kernels, drained, Ω cup carrots, cut into small cubes, 1 pc red bell pepper, cut into small cubes, 1 pc green bell pepper, cut into small cubes",04-May,"Calories: 220, Protein: 25g, Carbs: 30g, Fats: 5g",Beginner,"Kids, Teens, Adults, Elders","Soup, Chicken Recipe"
,Chorizo Croquetas Recipe,50,"1 kg potato, peeled and quartered, water, to cover, 1 pc Knorr Beef Cube, 6 pcs chorizo de bilbao, chopped, Ω-1 cup all-purpose cream, 2 tbsp margarine, Knorr Liquid Seasoning, to taste, ground black pepper, 1 cup flour, 2 pcs egg, beaten, 1 cup breadcrumbs, oil for deep-frying",04-May,"Calories: 400, Protein: 10g, Carbs: 60g, Fats: 18g",Intermediate,"Kids, Teens, Adults, Elders",Appetizer
,Mushroom Cream Penne Recipe,35,"400 g penne, cooked al dente, 2 tbsp olive oil, 25 g garlic, chopped, 250 g button mushroom, sliced, 2 (45g) packs Knorr Ginataang Gulay Complete Recipe Mix, 2 cups water, 1 cup all-purpose cream, chopped parsley, for topping, toasted garlic, for topping, grated cheese for topping",04-May,"Calories: 500, Protein: 15g, Carbs: 70g, Fats: 20g",Beginner,"Kids, Teens, Adults, Elders",Pasta/Noodles
,Kimchi Rice Recipe,20,"2 tbsp oil, 1 pc onion, chopped, 6 cloves garlic, chopped, 1 cup prepared kimchi, 2 cups cooked rice, 2-3 tsp Knorr Liquid Seasoning, Ω tsp chili powder",04-May,"Calories: 350, Protein: 8g, Carbs: 60g, Fats: 10g",Beginner,"Kids, Teens, Adults, Elders",Appetizer
